,country_id,country,year,main_mean
349,100,Hungary,2025,0.847
101,27,Belize,2025,0.8057000000000001
437,123,Uzbekistan,2025,0.7936
585,161,Malawi,2025,0.7836000000000001
461,129,Kuwait,2025,0.7355
685,205,Malaysia,2025,0.7223999999999999
433,122,Turkmenistan,2025,0.6826
533,148,Laos,2025,0.6770999999999999
313,89,Bulgaria,2025,0.6696
117,31,El Salvador,2025,0.6641
525,146,South Korea,2025,0.6306
321,92,Georgia,2025,0.6033
385,110,Belarus,2025,0.5787
409,116,Romania,2025,0.5606
25,7,Argentina,2025,0.5546
617,169,Gabon,2025,0.5539000000000001
9,3,Trinidad and Tobago,2025,0.5244
197,53,Sierra Leone,2025,0.5169
85,23,Dominican Republic,2025,0.5105999999999999
217,58,Mongolia,2025,0.4775
725,232,Kosovo,2025,0.4538
265,76,Equatorial Guinea,2025,0.4472
501,139,Bhutan,2025,0.4298
465,130,Qatar,2025,0.4281
485,135,Nepal,2025,0.417
241,66,Sweden,2025,0.4154
393,112,Finland,2025,0.4006
1,1,Guyana,2025,0.3982
233,64,Norway,2025,0.3964
93,25,Jamaica,2025,0.3845
229,63,Kazakhstan,2025,0.3661
5,2,Suriname,2025,0.36169999999999997
125,33,Nicaragua,2025,0.3601
325,93,Greece,2025,0.3559
369,105,France,2025,0.355
529,147,Cambodia,2025,0.3415
45,12,Paraguay,2025,0.3376
337,97,Austria,2025,0.32889999999999997
545,151,Vietnam,2025,0.32630000000000003
281,80,Sao Tome and Principe,2025,0.3245
557,154,Botswana,2025,0.3208
145,38,Ireland,2025,0.3167
185,49,Guinea-Bissau,2025,0.3161
53,14,Uruguay,2025,0.31579999999999997
429,121,Sri Lanka,2025,0.3063
357,102,Slovakia,2025,0.3031
293,83,Bosnia and Herzegovina,2025,0.3
621,170,Namibia,2025,0.2988
113,30,Cuba,2025,0.2922
405,115,Moldova,2025,0.2907
129,34,Panama,2025,0.2828
633,173,Mauritius,2025,0.279
109,29,Costa Rica,2025,0.2767
729,233,Serbia,2025,0.2751
673,184,Germany,2025,0.2726
361,103,Slovenia,2025,0.27090000000000003
453,127,Bahrain,2025,0.2615
581,160,Lesotho,2025,0.261
345,99,Denmark,2025,0.2289
69,19,Dominica,2025,0.2272
509,142,Japan,2025,0.226
301,85,Italy,2025,0.2163
365,104,Belgium,2025,0.2048
665,182,Vanuatu,2025,0.2032
201,54,The Gambia,2025,0.2031
165,43,Liberia,2025,0.1933
669,183,Canada,2025,0.1929
173,46,Spain,2025,0.1915
137,36,St. Kitts and Nevis,2025,0.19
133,35,Antigua and Barbuda,2025,0.1893
297,84,Croatia,2025,0.1851
289,82,Albania,2025,0.1827
269,77,Kiribati,2025,0.18209999999999998
613,168,Fiji,2025,0.18130000000000002
169,45,Portugal,2025,0.18
689,206,Singapore,2025,0.17930000000000001
661,181,Tuvalu,2025,0.1781
505,140,Brunei,2025,0.17759999999999998
649,178,Nauru,2025,0.1775
149,39,United Kingdom,2025,0.1768
73,20,Grenada,2025,0.1749
97,26,Bahamas,2025,0.1748
77,21,St. Lucia,2025,0.1742
397,113,Latvia,2025,0.1727
341,98,Czech Republic,2025,0.1712
377,108,Netherlands,2025,0.17099999999999999
417,118,Maldives,2025,0.16899999999999998
17,5,Samoa,2025,0.1686
657,180,Solomon Is.,2025,0.1686
21,6,Tonga,2025,0.1676
625,171,New Zealand,2025,0.1669
81,22,St. Vincent and the Grenadines,2025,0.1655
153,40,Cape Verde,2025,0.1637
401,114,Lithuania,2025,0.1631
381,109,Switzerland,2025,0.1617
141,37,Iceland,2025,0.1606
637,174,Seychelles,2025,0.1597
317,90,Cyprus,2025,0.15489999999999998
373,107,Luxembourg,2025,0.15209999999999999
641,176,Timor Leste,2025,0.1516
309,87,Malta,2025,0.14679999999999999
65,18,Barbados,2025,0.1466
549,152,Marshall Is.,2025,0.1451
517,144,Palau,2025,0.1445
553,153,Micronesia,2025,0.1413
305,86,Macedonia,2025,0.1411
721,231,Montenegro,2025,0.1396
389,111,Estonia,2025,0.1354
